extractor,seed,block,method,events,expected,arl0_hat,p_value,dispersion,stream_windows
imagenet,50,layer2,KL-Gauss,17,29.99735135135135,652.8835294117647,0.014558440263916502,0.5294117647058825,11099.02
imagenet,50,layer2,KL-Hist,25,29.99735135135135,443.9608,0.4169855622387186,1.5333333333333334,11099.02
imagenet,50,layer2,HDDDM,22,29.99735135135135,504.5009090909091,0.16127648623203544,0.6868686868686869,11099.02
imagenet,50,layer2,PSI,26,29.99735135135135,426.8853846153846,0.5349856860331688,1.2991452991452992,11099.02
imagenet,50,layer2,T2,36,29.99735135135135,308.30611111111114,0.3145269908333174,1.3086419753086422,11099.02
imagenet,50,layer2,Frechet,43,29.99735135135135,258.1167441860465,0.029600447151720666,1.0878552971576227,11099.02
imagenet,50,layer2,MMD,50,29.99735135135135,221.9804,0.001035834461630611,0.6222222222222222,11099.02
imagenet,50,layer2,CUSUM,10626,29.99735135135135,1.0445153397327311,0.0,21.143986448334275,11099.02
imagenet,50,layer2,EWMA,42,29.99735135135135,264.26238095238097,0.04416006020562359,0.8359788359788359,11099.02
imagenet,50,layer2,SPE,54,29.99735135135135,205.53740740740741,0.00010116789905040395,1.3662551440329218,11099.02
imagenet,50,layer2,CUSUM-R,109,29.99735135135135,101.82587155963303,1.7931026108244828e-28,0.5596330275229358,11099.02
imagenet,50,layer3,KSWIN,37,29.99735135135135,299.9735135135135,0.23905332585359146,0.8438438438438438,11099.02
imagenet,50,layer3,KL-Gauss,35,29.99735135135135,317.11485714285715,0.4051033856438455,0.7777777777777778,11099.02
imagenet,50,layer3,KL-Hist,49,29.99735135135135,226.51061224489797,0.001770861896716042,0.655328798185941,11099.02
imagenet,50,layer3,HDDDM,36,29.99735135135135,308.30611111111114,0.3145269908333174,0.8148148148148148,11099.02
imagenet,50,layer3,PSI,46,29.99735135135135,241.28304347826088,0.007902886508320215,0.4444444444444444,11099.02
imagenet,50,layer3,T2,35,29.99735135135135,317.11485714285715,0.4051033856438455,0.8412698412698413,11099.02
imagenet,50,layer3,Frechet,35,29.99735135135135,317.11485714285715,0.4051033856438455,1.7936507936507937,11099.02
imagenet,50,layer3,MMD,35,29.99735135135135,317.11485714285715,0.4051033856438455,1.8571428571428572,11099.02
imagenet,50,layer3,CUSUM,0,29.99735135135135,inf,1.8764881753442784e-13,,11099.02
imagenet,50,layer3,EWMA,35,29.99735135135135,317.11485714285715,0.4051033856438455,0.7777777777777778,11099.02
imagenet,50,layer3,SPE,80,29.99735135135135,138.73775,6.086641165189213e-14,0.6944444444444444,11099.02
imagenet,50,layer3,CUSUM-R,24,29.99735135135135,462.4591666666667,0.3147097585278856,0.11111111111111113,11099.02
imagenet,50,layer4,KSWIN,32,29.99735135135135,346.844375,0.762341681982474,1.097222222222222,11099.02
imagenet,50,layer4,KL-Gauss,22,29.99735135135135,504.5009090909091,0.16127648623203544,0.6868686868686869,11099.02
imagenet,50,layer4,KL-Hist,20,29.99735135135135,554.951,0.07064031112581588,0.5555555555555556,11099.02
imagenet,50,layer4,HDDDM,25,29.99735135135135,443.9608,0.4169855622387186,0.8222222222222222,11099.02
imagenet,50,layer4,PSI,22,29.99735135135135,504.5009090909091,0.16127648623203544,0.8888888888888888,11099.02
imagenet,50,layer4,T2,29,29.99735135135135,382.7248275862069,0.9518187558646063,1.1839080459770115,11099.02
imagenet,50,layer4,Frechet,16,29.99735135135135,693.68875,0.00775565463812534,0.5833333333333331,11099.02
imagenet,50,layer4,MMD,13,29.99735135135135,853.7707692307692,0.0008158375220350545,1.034188034188034,11099.02
imagenet,50,layer4,CUSUM,0,29.99735135135135,inf,1.8764881753442784e-13,,11099.02
